GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Contributors,Age,Size,Analysis
anicolson/DeepXi,Y,211,333,2301,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/anicolson/DeepXi/graphs/contributors shows that there are multiple contributors but 1 only contribute 1 commit,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/anicolson/DeepXi/issues/29 and https://github.com/anicolson/DeepXi/issues/43",https://github.com/anicolson/DeepXi/blob/master/LICENSE.txt is provided.,There are files related to testing,2,1938,Small,False
batra-mlp-lab/visdial-challenge-starter-pytorch,N,162,120,1510,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/23 and https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/32 but not very often",https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,5,1895,Small,False
bureaucratic-labs/dostoevsky,Y,132,173,316,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/bureaucratic-labs/dostoevsky/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/bureaucratic-labs/dostoevsky/issues/37 and https://github.com/bureaucratic-labs/dostoevsky/issues/83",https://github.com/bureaucratic-labs/dostoevsky/blob/master/LICENSE is provided.,There are 2 files related to testing,4,1942,Small,False
Cadene/bootstrap.pytorch,Y,168,231,2866,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Cadene/bootstrap.pytorch/graphs/contributors shows that there are multiple contributors but mainly author,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,The project maintainers did not respond to most of the issues,https://github.com/Cadene/bootstrap.pytorch/blob/master/LICENSE.txt is provided.,There are many files related to testing.,6,1988,Small,False
ClementPinard/SfmLearner-Pytorch,Y,607,113,2622,The source code of the project exists as ad-hoc scripts.,https://github.com/ClementPinard/SfmLearner-Pytorch/graphs/contributors shows that there are multiple contributors but mainly author,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/ClementPinard/SfmLearner-Pytorch/issues/73 and https://github.com/ClementPinard/SfmLearner-Pytorch/issues/77.",https://github.com/ClementPinard/SfmLearner-Pytorch/blob/master/LICENSE is provided.,There are many files related to testing.,6,2161,Small,False
explosion/spacy-transformers,Y,744,811,1222,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/explosion/spacy-transformers/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/explosion/spacy-transformers/blob/master/spacy_transformers/align.py,Checking https://github.com/explosion/spacy-transformers/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/explosion/spacy-transformers/issues/203",https://github.com/explosion/spacy-transformers/blob/master/LICENSE is provided,There are many files related to testing.,20,1517,Small,False
fizyr/keras-retinanet,Y,3815,1069,4646,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/fizyr/keras-retinanet/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and in functions at https://github.com/fizyr/keras-retinanet/blob/master/keras_retinanet/initializers.py and https://github.com/fizyr/keras-retinanet/blob/master/keras_retinanet/losses.py,Checking https://github.com/fizyr/keras-retinanet/pulse/monthly there has been 6 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/fizyr/keras-retinanet/issues/1402",https://github.com/fizyr/keras-retinanet/blob/master/LICENSE is provided,There are many files related to testing.,77,2229,Small,False
hunkim/PyTorchZeroToAll,N,3268,114,1281,"Poorly organized, general naming convention, doesn't explain modules",Multiple contributors: https://github.com/hunkim/PyTorchZeroToAll/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are documented",Few commits in the last month: https://github.com/hunkim/PyTorchZeroToAll/graphs/commit-activity,"More open issues than closed issues, author does not respond frequently",There is no license,There is no evidence of any testing done on the project.,12,2172,Small,False
jakeret/tf_unet,N,1604,209,967,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/jakeret/tf_unet/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented","No commits the past month, active before that","More closed than open, author does not respond frequently",https://github.com/jakeret/tf_unet/blob/master/LICENSE,There is no evidence of any testing done on the project.,12,2590,Small,False
jtyoui/Jtyoui,N,500,496,1475,The source code of the project exists as ad-hoc scripts.,Only one contributor: https://github.com/jtyoui/Jtyoui/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented",Few commits in the past month,There are no open issues,https://github.com/jtyoui/Jtyoui/blob/pyunit/LICENSE,There is no evidence of any testing done on the project.,1,150,Small,False
